Item Name,Item Variation,SKU,Category Rollup,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded
$12 Bottle,Regular,"",Beers,Bottled Beer,1,$12.00,0,$0.00,$0.00,$12.00,$1.03,ea,1,0
$20 Bottle,Regular,"",Beers,Bottled Beer,2,$40.00,0,$0.00,$0.00,$40.00,$3.45,ea,2,0
$30 Bottle,Regular,"",Beers,Bottled Beer,1,$30.00,0,$0.00,$0.00,$30.00,$2.59,ea,1,0
$10 Can,Regular,"",Beers,Cans,9,$90.00,0,$0.00,$0.00,$90.00,$7.74,ea,9,0
$16 4 Pack,Regular,"",Beers,Cans,1,$16.00,0,$0.00,-$3.20,$12.80,$1.11,ea,1,0
$18 4 Pack,Regular,"",Beers,Cans,3,$54.00,0,$0.00,$0.00,$54.00,$4.65,ea,3,0
$20 4 Pack,Regular,"",Beers,Cans,15,$300.00,0,$0.00,-$3.00,$297.00,$25.62,ea,15,0
$22 4 Pack,Regular,"",Beers,Cans,59,"$1,298.00",0,$0.00,-$9.90,"$1,288.10",$107.31,ea,59,0
$24 4 Pack,Regular,"",Beers,Cans,122,"$2,928.00",0,$0.00,-$48.00,"$2,880.00",$246.35,ea,122,0
$26 4 Pack,Regular,"",Beers,Cans,55,"$1,430.00",-1,-$26.00,-$11.70,"$1,392.30",$120.07,ea,55,-1
$28 4 Pack,Regular,"",Beers,Cans,13,$364.00,0,$0.00,$0.00,$364.00,$31.38,ea,13,0
$30 4 Pack,Regular,"",Beers,Cans,12,$360.00,0,$0.00,$0.00,$360.00,$31.05,ea,12,0
$4 Can,Regular,"",Beers,Cans,5,$20.00,0,$0.00,-$0.60,$19.40,$1.67,ea,5,0
$5 Can,Regular,"",Beers,Cans,22,$110.00,0,$0.00,-$1.50,$108.50,$9.34,ea,22,0
$6 Can,Regular,"",Beers,Cans,145,$870.00,0,$0.00,-$21.00,$849.00,$73.82,ea,145,0
$7 Can,Regular,"",Beers,Cans,292,"$2,044.00",0,$0.00,-$1.05,"$2,042.95",$170.06,ea,292,0
$8 Can,Regular,"",Beers,Cans,200,"$1,600.00",0,$0.00,-$24.00,"$1,576.00",$135.96,ea,200,0
$9 Can,Regular,"",Beers,Cans,69,$621.00,0,$0.00,$0.00,$621.00,$53.63,ea,69,0
$12 Crowler,Regular,"",Beers,Crowlers,4,$48.00,0,$0.00,$0.00,$48.00,$4.14,ea,4,0
$14 Crowler,Regular,"",Beers,Crowlers,44,$616.00,0,$0.00,$0.00,$616.00,$53.16,ea,44,0
$16 Crowler,Regular,"",Beers,Crowlers,19,$304.00,0,$0.00,$0.00,$304.00,$26.22,ea,19,0
$18 Crowler,Regular,"",Beers,Crowlers,9,$162.00,0,$0.00,$0.00,$162.00,$13.97,ea,9,0
