Payment Method,Payments,Refunds,Payment Amount,Refund Amount,Tips,Total Collected,Fees,Net Total
Card - Tapped,10295,20,"$570,179.69","-$1,135.78","$92,843.28","$569,043.91","-$14,295.60","$554,748.31"
Card - Dipped,4534,6,"$263,238.65",-$316.66,"$41,393.27","$262,921.99","-$6,596.36","$256,325.63"
Card - Keyed,1097,8,"$37,858.35",-$333.54,"$5,420.98","$37,524.81","-$1,347.40","$36,177.41"
Card - Card on File,200,0,"$7,303.78",$0.00,"$1,109.82","$7,303.78",-$257.20,"$7,046.58"
Card - Swiped,45,0,"$1,875.46",$0.00,$271.44,"$1,875.46",-$47.09,"$1,828.37"
Cash,2183,2,"$2,929.45",-$182.50,$0.00,"$2,746.95",$0.00,"$2,746.95"
Gift Card,15,0,$754.48,$0.00,$27.79,$754.48,$0.00,$754.48
Other,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Cash App,6,0,$226.24,$0.00,$24.20,$226.24,-$7.90,$218.34
Check,1,0,$39.10,$0.00,$0.00,$39.10,$0.00,$39.10
